periodo;serviciosentido;paradero;correlativo;zp;metro;subidascorregidas;bajadascorregidas;cargacorregida;toc;edit;subidasTOC;bajadasTOC;subidasTOCcorregidas;bajadasTOCcorregidas;cargaTOCcorregida
4;T320 00I;L-29-33-NS-17;53;0;0;0.0;0.8389799973912443;4.455133489268646;;False;0.0;0.0;0.0;0.8389799973912443;4.559832663206862
4;T320 00I;L-29-33-NS-25;54;0;0;0.0;1.984874365172515;2.4702591240961307;;False;0.0;0.0;0.0;1.984874365172515;2.574958298034346
4;T320 00I;T-30-232-PO-5;55;0;0;0.0;0.477270304441119;1.992988819655011;;False;0.0;0.0700608128688079;0.0;0.5473311173099269;2.027627180724423
4;T320 00I;T-30-470-NS-5;56;0;0;0.0;1.9715763792294352;0.021412440425578442;;False;0.0;0.034638361069436956;0.0;2.006214740298872;0.021412440425550017
4;T322 00I;I-33-134-SN-67;1;1;0;17.075143030318447;0.0;17.075143030318447;33.92857143;True;16.85342839968155;0.0;33.92857143;0.0;33.92857143
4;T322 00I;L-33-80-PO-10;2;1;1;2.6496039715039483;0.9693224385585152;18.75542456326388;;False;0.0;2.5282823621072152;2.6496039715039483;3.4976048006657305;33.080570600838215
4;T322 00I;L-33-87-NS-10;3;0;0;3.6264216561465186;0.20112310628595306;22.180723113124447;;False;0.0;0.02151721937853852;3.6264216561465186;0.22264032566449157;36.48435193132025
4;T322 00I;L-33-71-PO-15;4;0;0;1.1218952203613175;0.036650355625001615;23.26596797786076;;False;0.0;0.0;1.1218952203613175;0.036650355625001615;37.56959679605656
4;T322 00I;L-33-71-PO-25;5;0;0;0.270162977829268;0.3631741653747439;23.17295679031529;;False;0.0;0.10583448403330137;0.270162977829268;0.46900864940804526;37.37075112447778
4;T322 00I;L-33-71-PO-40;6;0;0;0.426125561317073;3.0049751398271174;20.594107211805238;;False;0.0;1.39976943692865;0.426125561317073;4.404744576755768;33.39213210903908
4;T322 00I;L-33-71-PO-45;7;0;0;0.831803010762195;0.4474951175968951;20.978415104970537;;False;0.0;0.1686163590516482;0.831803010762195;0.6161114766485433;33.607823643152734
4;T322 00I;L-33-71-PO-55;8;0;0;0.27558357975609754;2.28476308315663;18.969235601570013;;False;0.0;1.0174799303665105;0.27558357975609754;3.3022430135231406;30.58116420938569
4;T322 00I;L-33-71-PO-65;9;0;0;1.4924996407136524;1.032458100974845;19.429277141308816;;False;0.0;0.46689022723979134;1.4924996407136524;1.4993483282146363;30.574315521884706
4;T322 00I;L-33-71-PO-75;10;0;0;2.106057650820901;0.8062585493900994;20.72907624273961;;False;0.0;0.9084002382762871;2.106057650820901;1.7146587876663866;30.96571438503922
4;T322 00I;L-33-71-PO-80;11;0;0;0.3550649981303413;0.3653704258375846;20.71877081503237;;False;0.0;0.2112110775680897;0.3550649981303413;0.5765815034056743;30.744197879763885
4;T322 00I;L-33-71-PO-95;12;0;0;0.20081511941463395;0.7154119234438039;20.204174011003204;;False;0.0;0.5520142513443154;0.20081511941463395;1.2674261747881193;29.6775868243904
4;T322 00I;L-33-71-PO-100;13;0;0;0.4184784947317071;3.4429472316097995;17.179705274125112;;False;0.0;1.2720343410755948;0.4184784947317071;4.714981572685394;25.381083746436715
4;T322 00I;L-33-71-PO-110;14;0;0;0.11124200864634144;3.4421759136822567;13.848771369089198;;False;0.0;1.716655100260719;0.11124200864634144;5.158831013942976;20.333494741140083
4;T322 00I;L-33-71-PO-120;15;0;0;0.07973892367141458;2.9049219104466464;11.023588382313967;;False;0.0;1.1641066433348053;0.07973892367141458;4.069028553781452;16.344205111030043
4;T322 00I;L-33-71-PO-130;16;0;0;0.5015493448533656;4.11657039869085;7.408567328476483;;False;0.0;1.3160045481133633;0.5015493448533656;5.4325749468042135;11.413179509079193
4;T322 00I;L-33-26-NS-10;17;0;0;0.12500468264590234;0.18785338917401712;7.345718621948367;;False;0.0;0.04214954719844268;0.12500468264590234;0.2300029363724598;11.308181255352636
4;T322 00I;L-33-26-NS-20;18;0;0;0.20171284762675631;0.609167035577219;6.9382644339979045;;False;0.0;0.23235762368592713;0.20171284762675631;0.8415246592631461;10.668369443716252
4;T322 00I;L-33-23-OP-60;19;0;0;0.07508604715309758;0.09182577135317893;6.921524709797822;;False;0.0;0.02151721937853852;0.07508604715309758;0.11334299073171746;10.630112500137635
4;T322 00I;L-33-23-OP-55;20;0;0;0.1789195645081944;0.3160415626739967;6.784402711632018;;False;0.0;0.04214954719844268;0.1789195645081944;0.35819110987243935;10.45084095477339
4;T322 00I;L-33-4-NS-10;21;0;0;0.4699375644702432;0.4089011626707953;6.845439113431468;;False;0.0;0.2122086247255646;0.4699375644702432;0.6211097873963599;10.299668731847277
4;T322 00I;L-33-29-NS-10;22;0;0;0.32613955510704923;0.2237119715695645;6.947866696968951;;False;0.0;0.08462252498710489;0.32613955510704923;0.3083344965566694;10.317473790397656
4;T322 00I;L-33-52-PO-127;23;0;0;0.0;0.5292442860248096;6.418622410944143;;False;0.0;0.1911274915360861;0.0;0.7203717775608957;9.597102012836764
4;T322 00I;L-33-52-PO-135;24;0;0;0.0;3.499413542357156;2.919208868586985;;False;0.0;1.333351693309015;0.0;4.832765235666171;4.764336777170591
4;T322 00I;L-33-52-PO-145;25;0;0;0.0;0.8470438169430681;2.0721650516439176;;False;0.0;0.2979558886752869;0.0;1.144999705618355;3.6193370715522377
4;T322 00I;L-33-52-PO-150;26;0;0;0.0;0.8160731992247663;1.2560918524191498;8.5;False;0.0;0.7838122310876156;0.0;1.5998854303123817;2.019451641239854
4;T322 00I;L-33-52-PO-155;27;0;0;0.0;1.2308697666386832;0.025222085780470138;;False;0.0;0.7633597888206985;0.0;1.9942295554593819;0.025222085780470138
4;T323 00I;I-33-134-SN-67;1;1;0;3.6439754456808;0.0;3.6439754456808;8.0;True;4.3560245543192;0.0;8.0;0.0;8.0
4;T323 00I;L-33-80-PO-10;2;1;1;0.4604312910742001;0.44441226423514857;3.6599944725198514;12.0;False;0.0;1.0506874296834647;0.4604312910742001;1.4950996939186134;6.965331597155588
