periodo;serviciosentido;serviciousuariots;capacidad;nexpediciones;count_zp;count_metro;fmax;fmin;sum_subidaspromedio;sum_subidasevasion;sum_subidascorregidas;sum_subidascorregidas_OT14;sum_difsubidas_O18_A19;max_difsubidas_O18_A19;varporc_subidastotal;sum_cargacorregida;sum_cargacorregida_OT14;sum_difcarga_O18_A19;max_difcarga_O18_A19;varporc_cargatotal;count_TOC;in_TOC;porc_TOC;avg_IC;estado50;estado60;estado70;hay_perfil;hay_P_OCT2018;hay_P_OT03;hay_P_OT05;hay_P_OT07;hay_P_OT09
4;T301 C0 00I;301cI;97.30769230769229;26.0;1.0;0.0;1.3043109510297657;0.8647506884312173;46.04757086553846;40.65771408789992;86.70528495343838;76.04959076023273;14.587183938560802;9.196725952082915;0.14011507605347484;826.8087224068672;964.2189069239255;138.0242229163087;10.316537237664242;-0.1425093238997227;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T301 C0 00R;301cR;97.14102564102565;78.0;11.0;0.0;1.4681790495492462;0.8278668230233103;27.90728688039741;9.345137135363531;37.25242401576094;37.779073693483575;13.4002704629644;1.770109153696232;-0.013940248561824298;541.4645316363061;481.66546072248735;63.44246009649781;4.37704141148232;0.12415063107103741;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T301 C0 01I;301cIPM;97.24615384615386;65.0;1.0;0.0;1.4601537885722835;0.637836325362999;20.112591848092265;15.369409550381558;35.48200139847383;9.48509883138917;31.737518227665003;28.00100552084451;2.740815149026465;377.4289238289145;87.79869491810803;289.6302289108065;28.00100542179841;3.2987987940020247;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T301 C0 01R;301cRPM;97.23428571428572;175.0;11.0;0.0;1.0741748918778398;0.957658447317414;38.68147236157141;12.757799144559542;51.43927150613096;20.610541523772106;38.94240988750105;5.177517975362077;1.495774865827816;732.0605148872082;178.44921022381538;553.611304663393;32.04137902368011;3.1023466227115266;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T301 C2 00R;301c2R;97.96590909090908;88.0;3.0;1.0;1.2311252696946002;0.6298552504389652;33.08022320413635;11.962597007936713;45.04282021207306;60.26137818894068;18.81453618675631;2.3182457397073164;-0.2525424813410685;668.6245607165907;920.4631783127905;251.8718430966242;14.697820053015093;-0.27359988267843605;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T302 00I;302I;98.0;26.0;1.0;8.0;1.3671193106594943;0.6007776666742449;31.242262670076933;8.89977527206208;40.14203794213901;54.59008197324777;19.3781942933432;4.173202504936337;-0.26466426700346624;396.8808846806925;617.8107477930056;221.27732520177622;6.926424011552511;-0.35760119729470063;9.0;8.0;0.8888888888888888;12.611695748610309;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T302 00R;302R;97.75675675675676;37.0;2.0;7.0;1.1700330489408304;0.7082755086832608;87.34528213972972;27.046674622623453;114.39195676235317;114.89420720750411;29.521680698348042;2.7993022647760317;-0.004371416604527778;1332.827442853706;1506.252573574054;191.86116813814203;5.580464607206437;-0.11513681952346322;9.0;9.0;1.0;15.113341343269196;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T302 E0 00I;302eI;55.45454545454546;11.0;1.0;3.0;1.2810416662752315;0.6810833391829352;7.575757665999999;1.5854848664158179;9.161242532415816;15.140560033809454;5.979317501393636;3.429079380077299;-0.3949204975272772;30.623852878400882;50.63686763845875;20.312166447425092;3.429079380077299;-0.3952261601753969;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;1.0;0.0;0.0;0.0
4;T302 E0 00R;302eR;49.25;32.0;0.0;2.0;1.147617331983719;0.5892118660231195;40.73250580896875;10.21897559005878;50.95148139902753;45.17776328557371;17.469715547201037;3.4554767115170364;0.12779999923762264;279.42769689576005;240.76061454729953;43.597285225684466;6.694193681419044;0.1606038530062983;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;1.0;0.0;0.0;0.0
4;T303 00I;303I;96.66336633663367;101.0;0.0;4.0;1.2817342685704227;0.6359983914190793;49.177280650782194;14.027824008681836;63.20510465946402;58.64008564429564;17.606472338486604;3.6359128122663478;0.07784809597413078;724.3580496531714;789.7790043739368;197.51088910025652;13.638637283415832;-0.0828345073222414;7.0;4.0;0.5714285714285714;10.99880984637306;VALIDO;NO VALIDO;NO VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T303 00R;303R;96.69863013698631;73.0;5.0;3.0;1.256579112362482;0.7426106175575059;57.92117378838361;13.640025394158833;71.56119918254244;89.44325098942753;39.289032118172315;9.162882597238545;-0.19992622818460393;888.7793892698497;1086.8997271840403;249.31445561447345;16.969536324361556;-0.18228023520392667;6.0;5.0;0.8333333333333334;14.2393399013314;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T303 E0 00I;303eI;95.7083333333333;24.0;0.0;0.0;1.2035748845354166;0.8322811539228325;49.804144383333295;22.888259370719148;72.69240375405245;52.86819690980227;69.6381554930624;39.58151491725934;0.3749741433034304;277.98162313256427;129.32726668758895;95.00102392025354;43.43232012852045;1.1494432709544085;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T303 E0 00R;303eR;96.30508474576274;59.0;1.0;1.0;1.15939366870649;0.7121142146132812;35.95108021549159;9.381518867270236;45.33259908276182;47.10458326891391;2.9300801509519907;2.1008400954788584;-0.037618084338758906;242.71010685463912;163.82018662423468;15.729920075930409;2.946668873591335;0.481564096928784;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T307 00I;307I;95.66666666666663;63.0;11.0;5.0;1.4277815687200013;0.5801237840450828;93.18949897752381;26.020041785925915;119.2095407634497;128.41578356420996;46.70319710167021;3.487508789152738;-0.07169089768592962;2880.247365043091;2807.5991398829256;345.7376144065523;7.177941825200875;0.02587556896145604;16.0;12.0;0.75;12.25716248828685;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T307 C0 00I;307cI;97.19626168224299;107.0;6.0;1.0;1.1497010756999293;0.6555716665475952;47.61961526257946;7.162911288994318;54.78252655157378;;;;;421.44918272895336;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T307 C0 00R;307cR;97.06451612903227;93.0;1.0;1.0;1.345024446736719;0.4397301904061329;18.858281439258057;5.216097211080289;24.074378650338346;;;;;116.44366836159311;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T307 E0 00I;307eI;97.13513513513512;74.0;2.0;2.0;1.2162474301937374;0.5518623360795489;66.29646153936488;11.775222717047916;78.0716842564128;88.19176433091505;19.72248971423997;4.930717068243542;-0.11475085175220523;804.4899549706629;868.9085182004821;76.92260570078511;8.056702775371157;-0.0741373365325394;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;1.0;0.0;0.0
4;T307 E0 00R;307eR;97.10416666666664;48.0;3.0;1.0;1.291501473458592;0.5654812112836602;23.418908918583302;4.9298197593453255;28.348728677928626;30.072084512383196;9.085967975682644;4.163776282854302;-0.05730749505392352;144.09896951652507;168.41228220449216;41.4069379234759;6.700353076181841;-0.14436781195355453;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;1.0;0.0;0.0
4;T308 00I;308I;94.30927835051544;97.0;2.0;3.0;1.1860251925018988;0.7020263072105245;77.88085587683506;19.63712327259503;97.51797914943006;70.53663672840294;42.61723175259295;8.784169962668468;0.38251529520633576;1329.6067313316887;1297.8513902380232;495.737773396959;34.186880539258624;0.024467624978112168;10.0;5.0;0.5;11.350221998351053;VALIDO;NO VALIDO;NO VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T308 00R;308R;94.26249999999999;80.0;3.0;4.0;1.295362633447802;0.7577358160315114;43.623961876574995;12.9036476294633;56.527609506038296;62.5715210078762;28.533621722525567;14.20213005246395;-0.09659205025681139;506.72665177749417;460.25818445514483;172.01879239952612;12.270812919773537;0.10096174037048122;11.0;5.0;0.45454545454545453;12.839559906931589;NO VALIDO;NO VALIDO;NO VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T308 C0 00I;308cI;93.5625;96.0;3.0;1.0;1.247445248074509;0.6068586051370786;44.71555002554166;10.801825518529114;55.517375544070774;;;;;381.63857256886024;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T308 C0 00R;308cR;94.01176470588236;85.0;1.0;1.0;1.3783391507121292;0.5559773225087326;18.007437446647064;5.896741902437529;23.90417934908459;;;;;85.56034693672206;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T310 00I;I24I;85.91176470588236;34.0;8.0;1.0;1.2531855313107498;0.6983757094768074;81.50946671161766;43.590862265764805;125.10032897738246;135.96845655482522;52.93690041952773;5.892352606487062;-0.07993124179548594;1563.461153396984;1817.3551348438698;351.6511438068372;22.260575735215113;-0.1397052103790919;6.0;6.0;1.0;9.354384947645478;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T310 00R;I24R;77.811320754717;53.0;1.0;2.0;1.3207993452453708;0.6739409695292685;43.942347413301924;21.57983229646428;65.5221797097662;54.75760429147384;12.455541919292529;2.427623256571709;0.19658594559748654;461.02351680001857;468.7228523368001;69.08643283413495;9.219835598772116;-0.01642620046877763;3.0;2.0;0.6666666666666666;12.15280139214957;VALIDO;VALIDO;NO VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T313 E0 00I;313eI;96.26865671641792;67.0;1.0;3.0;1.2366121268385364;0.5094112736840427;36.09490757762687;2.7501351420298645;38.84504271965674;63.932906431389604;25.885836199891155;6.054336089616774;-0.39240924763300444;201.99103829895822;359.3728641527905;157.79349606790922;20.65850218916377;-0.4379346399034737;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T313 E0 00R;313eR;95.73770491803276;61.0;2.0;3.0;1.2442260585605276;0.5087524078704345;45.5803992694754;10.219970582148358;55.800369851623756;56.62511971207118;6.93759242100631;3.494664017282105;-0.014565088155948036;331.5710078233759;357.8121446436089;30.183910551255565;3.8802236977078195;-0.07333774779044999;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T314 00I;314I;94.10810810810811;37.0;9.0;7.0;1.3047899471777649;0.7238030290337985;102.7796275443514;27.718114262532282;130.49774180688365;179.60498758387882;70.51568870115919;11.277759783152248;-0.2734180516788889;2855.96685234486;4369.760115950434;1513.7932636055743;30.626326488396337;-0.3464247975718273;16.0;13.0;0.8125;12.385450240786085;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T314 C0 00I;314cI;98.13157894736842;38.0;4.0;1.0;1.3755495375851898;0.5879120007150662;51.60807936763158;14.615894413732164;66.22397378136375;;;;;1013.7755046021827;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T315 C0 00I;315cI;97.3108108108108;74.0;4.0;1.0;1.3239515656306706;0.6725521781436499;53.092205118648636;8.139560649194577;61.23176576784322;;;;;580.6321797569947;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T315 C0 00R;315cR;97.14814814814818;54.0;1.0;1.0;1.526702295288679;0.6273586484502992;26.88742188837037;9.068237477986052;35.95565936635642;;;;;111.12881217402918;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T315 E0 00I;315eI;96.03846153846155;26.0;5.0;4.0;1.0913263258245645;0.9782556367084354;49.13822526650002;10.263612295687771;59.4018375621878;55.7069459193089;16.629752121634155;1.962618924036044;0.0663273059024081;831.8182394485057;777.5819728081196;67.9627621096156;3.8338722366424776;0.06974990230871736;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;1;1.0;0.0;0.0;0.0;0.0
4;T315 E0 02I;315eIPMPT;94.81045751633987;153.0;2.0;4.0;1.293698506478646;0.4613449895976998;64.96762700776469;13.299509154981997;78.2671361627467;;;;;1185.9521441500242;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T315 E0 02R;315eRPMPT;95.10784313725489;102.0;1.0;0.0;1.2581530865502917;0.8935600341576518;26.043865163254925;5.960528837599997;32.00439400085492;;;;;230.30735807694518;;;;;0.0;0.0;;;SIN INFO;SIN INFO;SIN INFO;0;0.0;0.0;0.0;0.0;0.0
4;T317 00I;I25I;46.0;38.0;0.0;2.0;1.3222130208564828;0.6494211286646213;23.1593194416316;5.779257052964296;28.938576494595903;15.792122988782696;14.675040081483159;12.140806678857867;0.8324690426455814;237.8727064708625;96.87985201326194;79.89715838555198;12.140806678857867;1.4553372195314664;3.0;3.0;1.0;9.382854021514303;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T317 00R;I25R;46.0;38.0;0.0;1.0;1.1646879774498349;0.7205676182116517;28.566439857631583;8.97923621226039;37.545676069891975;35.24205406228189;12.552727511397539;1.8553531822699787;0.06536571346094044;617.8296562696457;473.7308161148561;29.375452910482174;3.5651679798594653;0.3041787345323401;3.0;3.0;1.0;10.470086941497568;VALIDO;VALIDO;VALIDO;1;1.0;0.0;0.0;0.0;0.0
4;T318 00I;111I;94.94827586206895;58.0;2.0;6.0;1.3023288768053631;0.7974196531281014;58.10952412049997;22.44013660979189;80.54966073029186;;;;;786.1591634043798;;;;;16.0;9.0;0.5625;14.55554845976242;VALIDO;NO VALIDO;NO VALIDO;0;0.0;0.0;0.0;0.0;0.0
